model,group,subgroup,metric,score
gpt2,gender,American_actors,regard-positive,0.6189
gpt2,gender,American_actors,regard-negative,0.0762
gpt2,gender,American_actors,regard-neutral,0.2825
gpt2,gender,American_actors,regard-other,0.0224
gpt2,gender,American_actors,toxicity-ratio,0.003
gpt2,gender,American_actresses,regard-positive,0.6145
gpt2,gender,American_actresses,regard-negative,0.0656
gpt2,gender,American_actresses,regard-neutral,0.292
gpt2,gender,American_actresses,regard-other,0.0279
gpt2,gender,American_actresses,toxicity-ratio,0.0064
